,symbol,date,open,high,low,close,volume,adj_close,prev_day_diff,50_day_moving_avg,10_day_volatility,s&p_index_open,s&p_index_high,s&p_index_low,s&p_index_close,s&p_index_volume,s&p_index_adj_close
17,AAPL,1981-01-08,0.00189001383042,0.00187169934938,0.00190360919441,0.00188330779312,9956800,0.000146108126325,-0.009434,0.467424,0.048871,135.080002,136.100006,131.960007,133.059998,55350000.0,133.059998
18,AAPL,1981-01-09,0.00198334771922,0.00197183141004,0.00200586906322,0.00198447709216,5376000,0.000153956734118,0.024529,0.468147,0.023399,133.059998,134.759995,131.710007,133.479996,50190000.0,133.479996
19,AAPL,1981-01-12,0.00198334771922,0.0019641288206,0.00199013681928,0.00196891262772,5924800,0.000152749477515,-0.003773,0.468609,0.021323,133.479996,135.880005,132.789993,133.520004,48760000.0,133.520004
20,AAPL,1981-01-13,0.00190556943707,0.00188710422017,0.00191934143836,0.00189887225756,5762400,0.0001473157029,-0.016982,0.468218,0.030003,133.520004,134.270004,131.690002,133.289993,40890000.0,133.289993
21,AAPL,1981-01-14,0.00190556943707,0.00189480668637,0.00192720759179,0.00190665452091,3572800,0.000147919491188,0.001887,0.467948,0.021323,133.289993,135.25,132.649994,133.470001,41390000.0,133.470001
22,AAPL,1981-01-15,0.00194445867148,0.0019410214836,0.0019665384219,0.00194556589992,3516800,0.000150938112653,0.009434,0.468112,0.007549,133.470001,135.149994,132.440002,134.220001,39640000.0,134.220001
23,AAPL,1981-01-16,0.00193668083705,0.00191791414661,0.00195080598917,0.0019300012487,3348800,0.000149730536078,-0.003774,0.468105,0.00604,134.220001,135.910004,133.350006,134.770004,43260000.0,134.770004
24,AAPL,1981-01-19,0.00204557051916,0.00203345113968,0.00206879841657,0.00204673532348,10393600,0.000158787040418,0.028304,0.469231,0.023585,134.770004,135.860001,133.509995,134.369995,36470000.0,134.369995
25,AAPL,1981-01-20,0.0019911256781,0.00197183141004,0.00200586906322,0.00198447709216,7520800,0.000153956734118,-0.015096,0.46969,0.009055,134.369995,135.300003,131.259995,131.649994,41750000.0,131.649994
26,AAPL,1981-01-21,0.00202223695363,0.00201804608403,0.00204519989333,0.00202338847117,3976000,0.000156975675556,0.009435,0.470464,0.016037,131.649994,132.479996,129.929993,131.360001,39190000.0,131.360001
27,AAPL,1981-01-22,0.00204557051916,0.00204115354426,0.00206879841657,0.00204673532348,8887200,0.000158787040418,0.005661,0.471385,0.017735,131.360001,132.080002,129.229996,130.259995,39880000.0,130.259995
28,AAPL,1981-01-23,0.00204557051916,0.00203345113968,0.00206093213727,0.00203895293561,2805600,0.000158183252131,-0.001887,0.472177,0.014527,130.259995,131.339996,129.0,130.229996,37220000.0,130.229996
29,AAPL,1981-01-26,0.00201445911919,0.00199493874704,0.00202946758646,0.00200782394447,6160000,0.00015576809898,-0.007548,0.472665,0.006036,130.229996,131.179993,128.570007,129.839996,35380000.0,129.839996
30,AAPL,1981-01-27,0.00200668128476,0.00198723628083,0.00201373534252,0.00199225948003,5924800,0.000154560522405,-0.003774,0.473,2e-06,129.839996,131.949997,129.320007,131.119995,42260000.0,131.119995
31,AAPL,1981-01-28,0.00193668083705,0.00191791414661,0.00195080598917,0.0019300012487,7039200,0.000149730536078,-0.015095,0.472842,0.015663,131.119995,132.410004,129.820007,130.339996,36690000.0,130.339996
