,symbol,date,open,high,low,close,volume,adj_close,prev_day_diff,50_day_moving_avg,10_day_volatility,s&p_index_open,s&p_index_high,s&p_index_low,s&p_index_close,s&p_index_volume,s&p_index_adj_close
27,A,1999-12-29,0.0252350068481,0.0310631971944,0.0256975002123,0.0288222001744,10518600,0.0264566757934,6.797485,29.912398,13.465498,1457.660034,1467.469971,1457.660034,1463.459961,567860000.0,1463.459961
28,A,1999-12-30,0.030442230954,0.0314315354824,0.0303164188313,0.0317244340852,6671100,0.0291207147162,4.693499,30.650068,15.727277,1463.459961,1473.099976,1462.599976,1464.469971,554680000.0,1464.469971
29,A,1999-12-31,0.0318441724854,0.0314069788108,0.031133017751,0.0309488359703,1931200,0.0284087722279,-1.254299,31.29675,12.526793,1464.469971,1472.420044,1458.189941,1469.25,374050000.0,1469.25
30,A,2000-01-03,0.0315437561568,0.0310140814937,0.0275093427944,0.0288222001744,4674400,0.0264566757934,-3.4392,31.790769,7.40036,1469.25,1478.0,1438.359985,1455.219971,931800000.0,1455.219971
31,A,2000-01-04,0.0272878540965,0.0270605870122,0.0264375506899,0.0266204997687,4765100,0.0244356758945,-3.560594,32.142643,2.569284,1455.219971,1455.219971,1397.430054,1399.420044,1009000000.0,1399.420044
32,A,2000-01-05,0.0265368122738,0.0261274609918,0.0246257101493,0.0249692292681,5758600,0.0229199296598,-2.670439,32.392269,1.120777,1399.420044,1413.27002,1377.680054,1402.109985,1085500000.0,1402.109985
33,A,2000-01-06,0.0246842412425,0.0243594395667,0.0237325476805,0.0240184942741,2534400,0.0220472247194,-1.53753,32.581989,3.463484,1402.109985,1411.900024,1392.099976,1403.449951,1092300000.0,1403.449951
34,A,2000-01-07,0.0236578142136,0.0259064568403,0.0240898151178,0.0260200381324,2819600,0.0238844958583,3.236901,32.853351,1.213837,1403.449951,1441.469971,1400.72998,1441.469971,1225200000.0,1441.469971
35,A,2000-01-10,0.0276383374766,0.0273552572497,0.0275858977692,0.0275962548314,2148400,0.0253313477103,2.549061,33.180445,0.291324,1441.469971,1464.359985,1441.469971,1457.599976,1064800000.0,1457.599976
36,A,2000-01-11,0.0276133063542,0.0270851440767,0.0271265597541,0.0272209654081,1856000,0.0249868593363,-0.606919,33.473455,0.736391,1457.599976,1458.660034,1434.420044,1438.560059,1014000000.0,1438.560059
37,A,2000-01-12,0.0272377850422,0.0267168053958,0.0261568402689,0.0266705419079,1429900,0.0244816107806,-0.890146,33.727618,1.27857,1438.560059,1442.599976,1427.079956,1432.25,974600000.0,1432.25
38,A,2000-01-13,0.0273879946085,0.0274289233357,0.0269479260354,0.0270708514001,1134300,0.0248490654625,0.647381,33.985347,0.121389,1432.25,1454.199951,1432.25,1449.680054,1030400000.0,1449.680054
39,A,2000-01-14,0.0268372286023,0.027257030563,0.0273562287616,0.0273710822182,1316900,0.0251246554806,0.485534,34.242328,1.185518,1449.680054,1473.0,1449.680054,1465.150024,1085900000.0,1465.150024
40,A,2000-01-18,0.027488128311,0.0286321629219,0.0278155688183,0.0286220412251,2101800,0.026272944763,2.023054,34.536116,3.240942,1465.150024,1465.150024,1451.300049,1455.140015,1056700000.0,1455.140015
41,A,2000-01-19,0.0288400091998,0.0282883836629,0.028504575841,0.0280215795888,2624900,0.0257217647268,-0.971068,34.792793,2.043291,1455.140015,1461.390015,1448.680054,1455.900024,1087800000.0,1455.900024
42,A,2000-01-20,0.0283393102451,0.0278463710381,0.0275603780832,0.0272710035442,2007900,0.0250327908168,-1.213833,35.009303,0.457214,1455.900024,1465.709961,1438.540039,1445.569946,1100700000.0,1445.569946
43,A,2000-01-21,0.027688410937,0.027257030563,0.0271265597541,0.0275211962262,1918300,0.0252624493544,0.404612,35.225167,0.295368,1445.569946,1453.180054,1439.599976,1441.359985,1209800000.0,1441.359985
44,A,2000-01-24,0.0274380612594,0.0282147156124,0.0277645314879,0.0274211179525,2095900,0.0251705846906,-0.161847,35.427841,0.093062,1441.359985,1454.089966,1395.420044,1401.530029,1115800000.0,1401.530029
45,A,2000-01-25,0.0275382013708,0.0273552572497,0.0271265597541,0.0270958670655,1153800,0.0248720283647,-0.525996,35.610268,0.538135,1401.530029,1414.26001,1388.48999,1410.030029,1073700000.0,1410.030029
46,A,2000-01-26,0.0272127495137,0.0272079211487,0.0277134900745,0.0273460597475,1022400,0.0251016869023,0.404612,35.793541,0.153753,1410.030029,1412.72998,1400.160034,1404.089966,1117300000.0,1404.089966
47,A,2000-01-27,0.0279888272656,0.0276990369016,0.0274583013809,0.0273960978836,868600,0.0251476183828,0.080922,35.970864,0.190168,1404.089966,1418.859985,1370.98999,1398.560059,1129500000.0,1398.560059
48,A,2000-01-28,0.0278386176994,0.0273061458708,0.0275348628886,0.0272459814738,1609200,0.0250098222385,-0.242769,36.135995,0.461259,1398.560059,1398.560059,1356.199951,1360.160034,1095800000.0,1360.160034
49,A,2000-01-31,0.027062540348,0.0265694716522,0.0264375506899,0.0264954054292,1040400,0.0243208483285,-1.213833,36.270244,1.533477,1360.160034,1394.47998,1350.140015,1394.459961,993800000.0,1394.459961
50,A,2000-02-01,0.0265368122738,0.0282883836629,0.0270500027377,0.0284218886807,1404300,0.0260892194087,3.115513,36.619829,1.614405,1394.459961,1412.48999,1384.790039,1409.280029,981000000.0,1409.280029
51,A,2000-02-02,0.0287899357394,0.030056405088,0.0292191070409,0.0306235850833,1945200,0.0281102159019,3.560588,37.087561,4.754196,1409.280029,1420.609985,1403.48999,1409.119995,1038600000.0,1409.119995
52,A,2000-02-03,0.0301167770941,0.030547520448,0.0301377851127,0.0311239680455,1779500,0.0285695312744,0.809221,37.524542,4.940315,1409.119995,1425.780029,1398.52002,1424.969971,1146500000.0,1424.969971
53,A,2000-02-04,0.0311431993163,0.030547520448,0.0306226448553,0.0305235044077,1145700,0.0280183489678,-0.971072,37.993892,3.483709,1424.969971,1435.910034,1420.630005,1424.369995,1045100000.0,1424.369995
54,A,2000-02-07,0.0311181681939,0.0314315354824,0.031133017751,0.0318245083559,1274300,0.0292125754067,2.103986,38.491565,4.875578,1424.369995,1427.150024,1413.329956,1424.23999,918100000.0,1424.23999
55,A,2000-02-08,0.0323448690367,0.0322909895233,0.0319496256533,0.0316243558115,1169700,0.02902885062,-0.323686,38.981146,3.819544,1424.23999,1441.829956,1424.23999,1441.719971,1047700000.0,1441.719971
56,A,2000-02-09,0.031093130262,0.0309158630579,0.0309033487434,0.0303233542651,1182800,0.0278346258838,-2.103983,39.416509,1.234072,1441.719971,1444.550049,1411.650024,1411.709961,1050500000.0,1411.709961
57,A,2000-02-10,0.030842780985,0.0309649724722,0.0307502367522,0.0306986408864,1066800,0.0281791119875,0.606915,39.863201,1.306899,1411.699951,1422.099976,1406.430054,1416.829956,1058800000.0,1416.829956
58,A,2000-02-11,0.0306425071711,0.03017918216,0.0305460878389,0.0301732378553,751700,0.0276968297396,-0.849684,40.283188,0.016182,1416.829956,1416.829956,1378.890015,1387.119995,1025700000.0,1387.119995
59,A,2000-02-14,0.0301418146254,0.0302282978607,0.0305460878389,0.0305985626126,837700,0.0280872473237,0.687837,40.701557,0.008091,1387.119995,1394.930054,1380.530029,1389.939941,927300000.0,1389.939941
60,A,2000-02-15,0.0306675426997,0.0326102164325,0.0312606165891,0.0327752429495,2017600,0.0300852809147,3.520132,41.185473,2.824198,1389.939941,1407.719971,1376.25,1402.050049,1092100000.0,1402.050049
61,A,2000-02-16,0.0320444527081,0.0321682120585,0.0324089636684,0.0324249699922,1801700,0.0297637554429,-0.566463,41.641876,1.966415,1402.050049,1404.550049,1385.579956,1387.670044,1018800000.0,1387.670044
62,A,2000-02-17,0.0324450051425,0.0381107384029,0.0316944345099,0.0388299078566,944900,0.0356430212711,10.35808,42.311914,11.078289,1387.670044,1399.880005,1380.069946,1388.26001,1034800000.0,1388.26001
63,A,2000-02-18,0.0354491744365,0.0376687257781,0.0359560856917,0.0375289043087,4060100,0.0344487948322,-2.103986,42.940681,7.841388,1388.26001,1388.589966,1345.319946,1346.089966,1042300000.0,1346.089966
64,A,2000-02-22,0.038453344131,0.0382580745039,0.0367471694167,0.0366282054494,2228000,0.0336220191019,-1.456612,43.532224,5.607921,1346.089966,1358.109985,1331.880005,1352.170044,980000000.0,1352.170044
65,A,2000-02-23,0.0367009132111,0.0394858648684,0.0374106653277,0.0396305220373,1690000,0.0363779266617,4.855353,44.234631,9.168515,1352.170044,1370.109985,1342.439941,1360.689941,993700000.0,1360.689941
66,A,2000-02-24,0.0406063314908,0.045354720805,0.0410343423259,0.0427329060907,2956400,0.0392256886684,5.017182,45.027671,12.178822,1360.689941,1364.800049,1329.880005,1353.430054,1215000000.0,1353.430054
67,A,2000-02-25,0.0414074403651,0.04476538033,0.0421571717607,0.0432833319928,2048200,0.0397309394945,0.89015,45.870883,11.033773,1353.430054,1362.140015,1329.150024,1333.359985,1065200000.0,1333.359985
68,A,2000-02-28,0.0433100764451,0.0428991365401,0.0401156622126,0.0404311402211,1675400,0.0371128360254,-4.61257,46.638837,4.762293,1333.359985,1360.819946,1325.069946,1348.050049,1026500000.0,1348.050049
69,A,2000-02-29,0.0406313630138,0.0419905667985,0.0413660859942,0.0415820273592,958000,0.0381692663201,1.861217,47.371994,4.847262,1348.050049,1369.630005,1348.050049,1366.420044,1204300000.0,1366.420044
70,A,2000-03-01,0.0418580638565,0.0439059243246,0.0425654789783,0.0436836410847,1037900,0.0400983941764,3.398734,48.19012,6.481888,1366.420044,1383.459961,1366.420044,1379.189941,1274100000.0,1379.189941
71,A,2000-03-02,0.0440360867449,0.0432183571629,0.0418509477783,0.0421512141096,1188300,0.0386917376201,-2.478245,48.946542,2.430713,1379.189941,1386.560059,1370.349976,1381.76001,1198600000.0,1381.76001
72,A,2000-03-03,0.0420333085508,0.0439059243246,0.0428461828664,0.0432332958582,1215800,0.0396850102844,1.749946,49.7412,3.468542,1381.76001,1410.880005,1381.76001,1409.170044,1150300000.0,1409.170044
73,A,2000-03-06,0.0452627875877,0.0636488569552,0.0459339627916,0.0636490207149,5693500,0.0584251553543,33.016354,51.184047,32.260745,1409.170044,1409.73999,1384.75,1391.280029,1029000000.0,1391.280029
74,A,2000-03-07,0.062486679256,0.0632559619956,0.0534875493446,0.0568437777616,7710800,0.0521784388174,-11.005454,52.378462,17.986024,1391.280029,1399.209961,1349.98999,1355.619995,1314100000.0,1355.619995
75,A,2000-03-08,0.0584811268733,0.0597199148235,0.0571622657146,0.0608468606744,3954000,0.055852977122,6.473795,53.662701,21.028708,1355.619995,1373.790039,1346.619995,1366.699951,1203000000.0,1366.699951
76,A,2000-03-09,0.0588816749016,0.0605057051357,0.0592037756711,0.0612471697663,2514600,0.0562204318039,0.647381,54.847405,18.681958,1366.699951,1401.819946,1357.880005,1401.689941,1123000000.0,1401.689941
77,A,2000-03-10,0.0612850139417,0.0608494824303,0.0571622657146,0.0568437777616,2479400,0.0521784388174,-7.121176,55.753736,9.367784,1401.689941,1413.459961,1392.069946,1395.069946,1138800000.0,1395.069946
78,A,2000-03-13,0.0520972669734,0.0545877354629,0.0528750972968,0.0525404616289,2626700,0.0482283087918,-6.959332,56.427011,0.45013,1395.069946,1398.390015,1364.839966,1383.619995,1016100000.0,1383.619995
79,A,2000-03-14,0.0532739007647,0.0534336068626,0.048536889507,0.0485874188537,3523000,0.0445997042381,-6.392869,56.997514,7.075652,1383.619995,1395.150024,1359.150024,1359.150024,1094000000.0,1359.150024
80,A,2000-03-15,0.0513211896221,0.0503395644575,0.046240190857,0.0457352226787,3046200,0.0419815962282,-4.612578,57.54455,12.020012,1359.150024,1397.98999,1356.98999,1392.140015,1302800000.0,1392.140015
81,A,2000-03-16,0.0464644529019,0.0483259798519,0.04572981347,0.0472613948367,2769600,0.0433825109237,2.468129,58.21216,10.378303,1392.150024,1458.469971,1392.150024,1458.469971,1482300000.0,1458.469971
82,A,2000-03-17,0.0477912962594,0.0498975600835,0.0482306655246,0.0484873425815,1563800,0.0445078412771,1.982605,58.972831,9.245383,1458.469971,1477.329956,1453.319946,1464.469971,1295100000.0,1464.469971
83,A,2000-03-20,0.0482419197509,0.0477366393768,0.0461381161962,0.0455350705346,1420600,0.0417978708738,-4.774421,59.668764,11.090412,1464.469971,1470.300049,1448.48999,1456.630005,920800000.0,1456.630005
84,A,2000-03-21,0.0443615321931,0.0451828280324,0.0431779310261,0.0460354514953,2528300,0.0422571845435,0.809218,60.316143,8.533269,1456.630005,1493.920044,1446.060059,1493.869995,1065900000.0,1493.869995
85,A,2000-03-22,0.0454880993334,0.0475156371898,0.0445304249772,0.0478118203385,1968000,0.0438877617498,2.872748,60.969996,3.552491,1493.869995,1505.079956,1487.329956,1500.640015,1075000000.0,1500.640015
86,A,2000-03-23,0.0477662607309,0.0486206524468,0.0477713230181,0.047911901014,1951900,0.0439796281164,0.16185,61.639225,1.234058,1500.640015,1532.5,1492.390015,1527.349976,1078300000.0,1527.349976
87,A,2000-03-24,0.0475659845137,0.0475401981833,0.047465099444,0.0480369929517,1230500,0.044094453412,0.202299,62.330302,0.392476,1527.349976,1552.869995,1516.829956,1527.459961,1052200000.0,1527.459961
88,A,2000-03-27,0.0473406683618,0.0469508577083,0.0462146756624,0.0457352226787,846800,0.0419815962282,-3.722428,62.933983,2.229407,1527.459961,1534.630005,1518.459961,1523.859985,901000000.0,1523.859985
89,A,2000-03-28,0.045663340022,0.0479085325424,0.0463422655178,0.0476867284008,1392500,0.0437729358866,3.155979,63.591073,1.072232,1523.859985,1527.359985,1507.089966,1507.72998,959100000.0,1507.72998
90,A,2000-03-29,0.0476661182162,0.0475401981833,0.0449132080175,0.0448345282227,1250400,0.0411548244711,-4.612584,64.11545,3.394691,1507.72998,1521.449951,1497.449951,1508.52002,1061900000.0,1508.52002
91,A,2000-03-30,0.0433351119736,0.0442005925976,0.0404729251586,0.0420323725856,2034200,0.038582650212,-4.531652,64.568616,7.080704,1508.52002,1517.380005,1474.630005,1487.920044,1193400000.0,1487.920044
92,A,2000-03-31,0.0424588965137,0.0416467812532,0.0367471694167,0.0416320634937,3732900,0.0382151955302,-0.647381,65.033111,6.619448,1487.920044,1519.810059,1484.380005,1498.579956,1227400000.0,1498.579956
93,A,2000-04-03,0.0412572311994,0.0405663230608,0.0374617002083,0.0392302129454,2030900,0.0360104719798,-3.884278,65.411828,9.484103,1498.579956,1507.189941,1486.959961,1505.969971,1021700000.0,1505.969971
94,A,2000-04-04,0.0392544530053,0.0402225371226,0.0334807557728,0.0374288280365,3519900,0.0343569324388,-2.913203,65.735518,11.005441,1505.97998,1526.449951,1416.410034,1494.72998,1515460000.0,1494.72998
95,A,2000-04-05,0.0371515367026,0.0392403016879,0.0367982132799,0.0388048877878,2109200,0.0356200543957,2.225366,66.114235,7.323472,1494.72998,1506.550049,1478.050049,1487.369995,1110300000.0,1487.369995
